... training
epoch: 1, training time: 526.45 secs, train perf: 74.18 %, val perf: 72.74 %
epoch: 2, training time: 528.75 secs, train perf: 79.35 %, val perf: 76.69 %
epoch: 3, training time: 528.18 secs, train perf: 81.84 %, val perf: 78.63 %
epoch: 4, training time: 526.77 secs, train perf: 83.61 %, val perf: 78.77 %
epoch: 5, training time: 531.13 secs, train perf: 85.49 %, val perf: 79.81 %
epoch: 6, training time: 525.76 secs, train perf: 86.45 %, val perf: 79.90 %
epoch: 7, training time: 526.20 secs, train perf: 87.73 %, val perf: 80.18 %
epoch: 8, training time: 525.47 secs, train perf: 88.78 %, val perf: 79.61 %
epoch: 9, training time: 525.37 secs, train perf: 89.75 %, val perf: 79.67 %
epoch: 10, training time: 524.00 secs, train perf: 90.34 %, val perf: 79.70 %
epoch: 11, training time: 527.23 secs, train perf: 91.21 %, val perf: 79.75 %
epoch: 12, training time: 525.97 secs, train perf: 92.23 %, val perf: 79.11 %
epoch: 13, training time: 523.94 secs, train perf: 92.98 %, val perf: 79.58 %
epoch: 14, training time: 523.19 secs, train perf: 93.31 %, val perf: 79.35 %
epoch: 15, training time: 523.20 secs, train perf: 93.73 %, val perf: 79.45 %
epoch: 16, training time: 523.48 secs, train perf: 94.41 %, val perf: 79.31 %
epoch: 17, training time: 523.05 secs, train perf: 94.72 %, val perf: 79.62 %
epoch: 18, training time: 523.67 secs, train perf: 95.08 %, val perf: 79.20 %
epoch: 19, training time: 524.24 secs, train perf: 95.49 %, val perf: 79.27 %
epoch: 20, training time: 523.23 secs, train perf: 95.78 %, val perf: 78.37 %
