using: word2vec vectors
[('image shape', 126, 300), ('filter shape', [(100, 1, 3, 300), (100, 1, 4, 300), (100, 1, 5, 300)]), ('hidden_units', [100, 3]), ('dropout', [0.5]), ('batch_size', 50), ('non_static', False), ('learn_decay', 0.95), ('conv_non_linear', 'relu'), ('non_static', False), ('sqr_norm_lim', 9), ('shuffle_batch', True)]
1
... training
epoch: 1, training time: 391.51 secs, train perf: 64.13 %, val perf: 63.31 %
epoch: 2, training time: 388.78 secs, train perf: 65.96 %, val perf: 65.17 %
epoch: 3, training time: 387.75 secs, train perf: 66.95 %, val perf: 65.70 %
epoch: 4, training time: 389.43 secs, train perf: 67.31 %, val perf: 65.78 %
epoch: 5, training time: 387.21 secs, train perf: 68.03 %, val perf: 66.26 %
epoch: 6, training time: 395.66 secs, train perf: 68.66 %, val perf: 66.53 %
epoch: 7, training time: 391.75 secs, train perf: 69.32 %, val perf: 66.70 %
epoch: 8, training time: 401.36 secs, train perf: 69.70 %, val perf: 66.74 %
epoch: 9, training time: 388.96 secs, train perf: 69.99 %, val perf: 66.90 %
epoch: 10, training time: 395.21 secs, train perf: 70.22 %, val perf: 66.61 %
epoch: 11, training time: 387.90 secs, train perf: 70.50 %, val perf: 67.04 %
epoch: 12, training time: 397.65 secs, train perf: 70.88 %, val perf: 67.42 %
epoch: 13, training time: 393.71 secs, train perf: 70.67 %, val perf: 66.35 %
epoch: 14, training time: 397.15 secs, train perf: 71.31 %, val perf: 67.28 %
epoch: 15, training time: 394.31 secs, train perf: 71.44 %, val perf: 67.47 %
epoch: 16, training time: 393.75 secs, train perf: 71.97 %, val perf: 67.29 %
epoch: 17, training time: 394.06 secs, train perf: 72.05 %, val perf: 67.68 %
epoch: 18, training time: 389.80 secs, train perf: 72.22 %, val perf: 67.40 %
epoch: 19, training time: 396.30 secs, train perf: 72.12 %, val perf: 67.06 %
epoch: 20, training time: 390.29 secs, train perf: 71.92 %, val perf: 67.17 %
epoch: 21, training time: 397.64 secs, train perf: 72.74 %, val perf: 67.19 %
epoch: 22, training time: 388.41 secs, train perf: 72.43 %, val perf: 66.87 %
epoch: 23, training time: 396.09 secs, train perf: 72.69 %, val perf: 67.33 %
epoch: 24, training time: 386.29 secs, train perf: 73.09 %, val perf: 67.41 %
epoch: 25, training time: 387.73 secs, train perf: 73.35 %, val perf: 67.39 %
perf: 0.6699
0.6699

