using: GloVe 300 vectors
[('image shape', 126, 300), ('filter shape', [(100, 1, 3, 300), (100, 1, 4, 300), (100, 1, 5, 300)]), ('hidden_units', [100, 3]), ('dropout', [0.5]), ('batch_size', 50), ('non_static', False), ('learn_decay', 0.95), ('conv_non_linear', 'relu'), ('non_static', False), ('sqr_norm_lim', 9), ('shuffle_batch', True)]
1
... training
epoch: 1, training time: 401.78 secs, train perf: 62.04 %, val perf: 61.73 %
epoch: 2, training time: 395.60 secs, train perf: 63.61 %, val perf: 62.35 %
epoch: 3, training time: 402.83 secs, train perf: 64.62 %, val perf: 63.00 %
epoch: 4, training time: 396.09 secs, train perf: 64.77 %, val perf: 63.29 %
epoch: 5, training time: 400.50 secs, train perf: 64.91 %, val perf: 63.17 %
epoch: 6, training time: 395.08 secs, train perf: 66.07 %, val perf: 63.80 %
epoch: 7, training time: 400.06 secs, train perf: 66.28 %, val perf: 63.97 %
epoch: 8, training time: 394.38 secs, train perf: 66.89 %, val perf: 64.65 %
epoch: 9, training time: 402.24 secs, train perf: 67.11 %, val perf: 64.47 %
epoch: 10, training time: 397.60 secs, train perf: 67.15 %, val perf: 64.40 %
epoch: 11, training time: 404.22 secs, train perf: 67.63 %, val perf: 64.40 %
epoch: 12, training time: 393.54 secs, train perf: 67.91 %, val perf: 64.65 %
epoch: 13, training time: 400.70 secs, train perf: 67.86 %, val perf: 64.50 %
epoch: 14, training time: 394.98 secs, train perf: 68.22 %, val perf: 64.61 %
epoch: 15, training time: 398.26 secs, train perf: 68.45 %, val perf: 64.59 %
epoch: 16, training time: 398.41 secs, train perf: 68.58 %, val perf: 64.59 %
epoch: 17, training time: 396.90 secs, train perf: 68.58 %, val perf: 64.66 %
epoch: 18, training time: 398.36 secs, train perf: 68.97 %, val perf: 64.66 %
epoch: 19, training time: 397.55 secs, train perf: 69.00 %, val perf: 64.28 %
epoch: 20, training time: 401.73 secs, train perf: 69.23 %, val perf: 64.44 %
epoch: 21, training time: 396.25 secs, train perf: 69.62 %, val perf: 64.68 %
epoch: 22, training time: 401.35 secs, train perf: 69.39 %, val perf: 64.49 %
epoch: 23, training time: 396.48 secs, train perf: 69.38 %, val perf: 64.21 %
epoch: 24, training time: 394.60 secs, train perf: 69.88 %, val perf: 64.39 %
epoch: 25, training time: 387.86 secs, train perf: 69.98 %, val perf: 64.61 %
perf: 0.6383
0.6383

